,dfx_feature_importance_mean,permutation_feature_importance_mean,model_feature_importance_mean,shap_feature_importance_mean,random_feature_importance_mean
WindDir3pm_NW,0.05987967475168473,-0.3334906987073434,-0.32068267787425586,0.03807248211264322,0.6665163758029716
WindDir3pm_S,0.20039691552962957,-0.3333266661644374,-0.31869835754709824,0.0366106579630161,0.5566692277324333
WindDir3pm_SE,0.18333897422378106,-0.3323788999358891,-0.32217527997864054,0.03399242449928563,0.5544732983962792
WindDir3pm_SSE,0.14461666118508373,-0.33124202205344183,-0.3235444776337963,0.031466193779280775,0.6397542478508446
WindDir3pm_SSW,-0.024709760848662776,-0.3303396866281807,-0.3187880385905794,0.030062988190381307,0.6656281895077157
WindDir3pm_SW,-0.08976436767596974,-0.33416323387089486,-0.32245146879108305,0.02859277314986434,0.6713821584499109
WindDir3pm_W,0.15210866747614413,-0.330912277435428,-0.3186587391750393,0.02753497018346147,0.5218738888185576
WindDir3pm_WNW,-0.02360597607302949,-0.3313405897862323,-0.3212839227638519,0.025553597347518487,0.5961145863710204
WindDir3pm_WSW,-0.0358361638060918,-0.33285694440584096,-0.3243678637072496,0.022708090635408018,0.7225203797417513
WindDir9am_E,-0.2233077301272477,-0.3322764330580076,-0.3162597453216735,0.02115145707758187,0.5159132689461722
WindDir9am_ENE,-0.08957338212161385,-0.3303744804618722,-0.3230869970183032,0.02016285883034082,0.3497354244050574
WindDir9am_ESE,-0.12168992290037722,-0.32983156797973207,-0.3244438479643728,0.018418488848558366,0.6078363511461679
WindDir9am_N,0.3376728157450597,-0.33243283942477614,-0.32499375508631223,0.01722045982672024,0.5624803233329453
WindDir9am_NE,-0.1505046987110348,-0.33176855782076903,-0.3241187638191898,0.016059195813876728,0.7040341136783281
WindDir9am_NNE,-0.00853313463378553,-0.33262644507652767,-0.32683544953029875,0.014810915180481917,0.7131252612181719
WindDir9am_NNW,-0.006284587210370969,-0.33411423958253444,-0.32677210210888,0.013465342216003885,0.5067394514923386
WindDir9am_NW,0.041967827517023486,-0.332481907624193,-0.32737857452413077,0.012566901158591002,0.6414812205262235
WindDir9am_S,0.2216405331442869,-0.33297248915800837,-0.32783883888512216,0.011835244150835172,0.7632601487327023
WindDir9am_SE,0.0727396329387525,-0.3341199917113224,-0.328129369263883,0.010016525829493477,0.5055722928126699
WindDir9am_SSE,-0.1423475611338677,-0.3317436296481579,-0.3263255378685125,0.008895017563877616,0.5185157877534724
WindDir9am_SSW,0.12310598816824077,-0.3324846685227141,-0.32821827149706245,0.008293783394920378,0.6436037290034546
WindDir9am_SW,0.20406973240608825,-0.3332006630981194,-0.32825532143395497,0.00689614717877468,0.7727993518144837
WindDir9am_W,-0.2639772914950294,-0.3324174371627075,-0.330314815386101,0.005743143466187997,0.49397929470978386
WindDir9am_WNW,0.17250497657761268,-0.3324063287313527,-0.33109910878245546,0.005029047068858942,0.7136697121252252
WindDir9am_WSW,0.20379769243334386,-0.33317323427548734,-0.33187686095013075,0.003547228989210492,0.6064379121755415
