,dfx_feature_importance_mean,permutation_feature_importance_mean,model_feature_importance_mean,shap_feature_importance_mean,random_feature_importance_mean
V54,0.10790614935649885,-0.3425490196078432,-0.21540414094725302,0.06444502885843624,0.5024829459675563
V55,-0.10007581686331746,-0.3462990196078432,-0.21212050840124144,0.062450771298938855,0.6841712494931667
V56,-0.07848089387620465,-0.3374299719887955,-0.1945145686159969,0.06051271807852074,0.5316361538394678
V57,-0.07769973672813076,-0.34628501400560224,-0.262590956353609,0.0594669213846335,0.5638005153276596
V58,-0.3679168625732032,-0.3154416034706566,-0.2160699419169447,0.05675716949363191,0.5422678072866266
V59,-0.06437841612796226,-0.3466001400560224,-0.2542086378517984,0.05412926893461206,0.4458476069942119
V60,0.09067749250143244,-0.33355042016806724,-0.19916090443649184,0.052803010706613564,0.5024434385356059
V61,-0.10961164500408745,-0.32969887955182076,-0.16389697358574754,0.05083741183070517,0.5548482573111079
V62,0.1237368665428507,-0.3468348192935711,-0.2646302264020558,0.04620218587357095,0.48494682019573127
V63,-0.0067834845616083035,-0.34156512605042016,-0.2590114095736837,0.043202521036616315,0.4591495287695575
V64,-0.05641924831754253,-0.3441666666666667,-0.2324125879800161,0.041557570232641415,0.49270524967885554
V65,-0.2365774485642612,-0.3445833333333333,-0.28207294414358497,0.04026855705729863,0.6533034266794658
V66,-0.05287143853644024,-0.31034006285441007,-0.25975779910306696,0.039425992445149924,0.6205619141756286
V67,-0.29881977372048946,-0.3183932841429255,-0.2736725070428714,0.038497722702957614,0.6092746156428882
V68,-0.4875750726191584,-0.34501750700280115,-0.2619011698921086,0.03672048991981316,0.5920061453088942
V69,0.039599284142400756,-0.3471183473389356,-0.27908301135949326,0.03499565727203308,0.6105876309886413
V70,0.06619748914691818,-0.33714985994397756,-0.2626567577048348,0.03200396181037764,0.6039370105687415
V71,-0.032904352663531734,-0.34714985994397757,-0.26744788101837713,0.031198889943399727,0.5889085822864417
V72,0.03906376055078383,-0.3392682072829132,-0.31038082208853757,0.029497196240495346,0.5369971384346242
V73,0.020995020130328768,-0.34679971988795516,-0.2027382814067642,0.027931238673553002,0.6566921496150805
V74,-0.09515739223978979,-0.3428011204481793,-0.295046076250522,0.02561088646747599,0.5980080320735057
V75,-0.034840540574013375,-0.34125000000000005,-0.29621544251711934,0.024810961404480723,0.5691813118241743
V76,0.18630236483033283,-0.3429831932773109,-0.31629622451780365,0.024333518182455813,0.5677360479470539
V77,0.2713616176387261,-0.3433333333333333,-0.30934948677950813,0.023334163966891613,0.5290436575902578
V78,-0.3612920270846392,-0.35295168067226895,-0.31916661801594864,0.02267271691710353,0.46054205872498516
V79,-0.38888187979661026,-0.3450350140056022,-0.303014479439578,0.021103096465778334,0.5199276190219523
