,dfx_feature_importance_mean,permutation_feature_importance_mean,model_feature_importance_mean,shap_feature_importance_mean,random_feature_importance_mean
YearsWithCurrManager,0.00609239947233705,-0.3187700302020878,-0.2137766433994647,0.0698325512062838,0.5583186502166431
BusinessTravel_Non-Travel,-0.08210420294018055,-0.3099671662291239,-0.2570929100306774,0.06514588067786499,0.5826881170782024
BusinessTravel_Travel_Frequently,0.1424854875782382,-0.3166963748301051,-0.20834031402865227,0.06106333974056285,0.5607166661207119
BusinessTravel_Travel_Rarely,-0.10980990515748175,-0.3148951693733532,-0.2391757817619907,0.05836095378207141,0.43753249480096024
Department_Human Resources,-0.2839016679696455,-0.30615354169527964,-0.22658196241003534,0.0533597489851756,0.6844972462365462
Department_Research & Development,-0.111431781983649,-0.31443140001133263,-0.214059604188933,0.05006371057782741,0.46838205120011067
Department_Sales,0.07992520912110183,-0.3121050540417925,-0.2260512055157827,0.045476199084282964,0.5684815777919692
EducationField_Human Resources,0.08205393435226624,-0.3224197286221304,-0.28885012987673336,0.0431714227938672,0.5019044945940371
EducationField_Life Sciences,-0.11293218020806588,-0.321498885785562,-0.25906886189080436,0.03892208539189769,0.6874158507965737
EducationField_Marketing,-0.021797116400306484,-0.32228565256360325,-0.24092719471967064,0.034648186604143864,0.4280814063783615
EducationField_Medical,-0.14187957920227245,-0.32571917114904153,-0.2845872315940747,0.030807398159851094,0.46062027651783377
EducationField_Other,0.0750381701128971,-0.33449364502818507,-0.278592074366495,0.029067898653286458,0.5146966604461091
EducationField_Technical Degree,0.17434864166426386,-0.32736651777639686,-0.2913236075189252,0.026973069680583887,0.6420466502264521
Gender_Female,-0.13378563221005849,-0.32710775280106213,-0.29062797743861074,0.02374538099537935,0.7105338574745722
Gender_Male,-0.3989430398434099,-0.33721343008808646,-0.26267750952775315,0.020720169399936345,0.4995285369151284
JobRole_Healthcare Representative,0.12536401119338234,-0.3262057194277271,-0.26292482289916913,0.0176805685111598,0.6325980627582601
JobRole_Human Resources,-0.07527381024587713,-0.33139534883720934,-0.27635390841059676,0.01575605488576482,0.5587843123426732
JobRole_Laboratory Technician,0.20102759314264254,-0.33162237577498743,-0.30205412551442795,0.01332319281455814,0.6200349768435095
JobRole_Manager,-0.12312679809795184,-0.33225082761638225,-0.29459308879907176,0.012459521284135848,0.4859131559214826
JobRole_Manufacturing Director,-0.12274128970235526,-0.3348564776976992,-0.3102702680383629,0.011489332925349878,0.611529890606643
JobRole_Research Director,-0.13859249422167652,-0.3306533835269254,-0.3003587114549981,0.009779161989214302,0.5061630025193989
JobRole_Research Scientist,-0.04391258170431497,-0.3333333333333333,-0.31284173120565134,0.0076918639136387265,0.6129784351969947
JobRole_Sales Executive,-0.045246156589373164,-0.3325170682979584,-0.3138067155429957,0.0065994093914651065,0.6290437832521146
JobRole_Sales Representative,0.025962843981891682,-0.3282572173927402,-0.3205132492649598,0.0052548007909140534,0.6652572500680352
MaritalStatus_Divorced,-0.07513875536476428,-0.3330670926517572,-0.31462500771619545,0.004090824425761642,0.651253166591831
MaritalStatus_Married,0.17589174442231878,-0.3333333333333333,-0.3256631109143704,0.0033730634997229166,0.5298275170381189
MaritalStatus_Single,-0.15621370237878587,-0.3333333333333333,-0.33028875290136933,0.0022400560636553677,0.46056113653279135
Over18_Y,-0.08697346260007906,-0.3333333333333333,-0.3328664327668209,0.0,0.5483556616443678
OverTime_No,-0.17624466380954426,-0.3333333333333333,-0.3328664327668461,0.0,0.5203432642557448
OverTime_Yes,0.04304025415175772,-0.3333333333333333,-0.29598128801458784,0.0,0.567209860277
